gene_id,gene_name,gene_biotype,description,transcript_id,chrom,start,end,strand,TPU.length,ARE.cts
ENSMUSG00000023087,Noct,protein_coding,nocturnin [Source:MGI Symbol;Acc:MGI:109382],ENSMUST00000023849,3,51250533,51251644,+,1112,6
ENSMUSG00000037174,Elf2,protein_coding,E74-like factor 2 [Source:MGI Symbol;Acc:MGI:1916507],ENSMUST00000194641,3,51252720,51256360,-,3641,9
ENSMUSG00000037161,Mgarp,protein_coding,mitochondria localized glutamic acid rich protein [Source:MGI Symbol;Acc:MGI:1914999],ENSMUST00000108046,3,51388412,51388751,-,340,6
ENSMUSG00000037152,Ndufc1,protein_coding,NADH:ubiquinone oxidoreductase subunit C1 [Source:MGI Symbol;Acc:MGI:1913627],ENSMUST00000038108,3,51404677,51405619,-,943,1
ENSMUSG00000063273,Naa15,protein_coding,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit [Source:MGI Symbol;Acc:MGI:1922088]",ENSMUST00000193266,3,51472801,51476507,+,3707,12
ENSMUSG00000027739,Rab33b,protein_coding,"RAB33B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1330805]",ENSMUST00000054387,3,51493797,51496232,+,2436,10
ENSMUSG00000037111,Setd7,protein_coding,SET domain containing (lysine methyltransferase) 7 [Source:MGI Symbol;Acc:MGI:1920501],ENSMUST00000037141,3,51515319,51521306,-,5988,18
ENSMUSG00000074604,Mgst2,protein_coding,microsomal glutathione S-transferase 2 [Source:MGI Symbol;Acc:MGI:2448481],ENSMUST00000161590,3,51682454,51682670,+,217,0
ENSMUSG00000061143,Maml3,protein_coding,mastermind like transcriptional coactivator 3 [Source:MGI Symbol;Acc:MGI:2389461],ENSMUST00000118075,3,51685907,51689853,-,3947,7
ENSMUSG00000044167,Foxo1,protein_coding,forkhead box O1 [Source:MGI Symbol;Acc:MGI:1890077],ENSMUST00000053764,3,52346996,52353221,+,6226,17
ENSMUSG00000027742,Cog6,protein_coding,component of oligomeric golgi complex 6 [Source:MGI Symbol;Acc:MGI:1914792],ENSMUST00000036665,3,52981875,52983043,-,1169,5
ENSMUSG00000048332,Lhfp,protein_coding,lipoma HMGIC fusion partner [Source:MGI Symbol;Acc:MGI:1920048],ENSMUST00000059562,3,53260610,53261679,+,1070,0
ENSMUSG00000042997,Nhlrc3,protein_coding,NHL repeat containing 3 [Source:MGI Symbol;Acc:MGI:2444520],ENSMUST00000056749,3,53448583,53452396,-,3814,5
ENSMUSG00000049504,Proser1,protein_coding,proline and serine rich 1 [Source:MGI Symbol;Acc:MGI:1919933],ENSMUST00000058577,3,53480635,53481755,+,1121,7
ENSMUSG00000027744,Stoml3,protein_coding,stomatin (Epb7.2)-like 3 [Source:MGI Symbol;Acc:MGI:2388072],ENSMUST00000029307,3,53507653,53508502,+,850,3
ENSMUSG00000037016,Frem2,protein_coding,Fras1 related extracellular matrix protein 2 [Source:MGI Symbol;Acc:MGI:2444465],ENSMUST00000091137,3,53513938,53516531,-,2594,6
ENSMUSG00000027746,Ufm1,protein_coding,ubiquitin-fold modifier 1 [Source:MGI Symbol;Acc:MGI:1915140],ENSMUST00000146598,3,53853376,53857927,-,4552,14
ENSMUSG00000027748,Trpc4,protein_coding,"transient receptor potential cation channel, subfamily C, member 4 [Source:MGI Symbol;Acc:MGI:109525]",ENSMUST00000029311,3,54318157,54318471,+,315,2
ENSMUSG00000027750,Postn,protein_coding,"periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]",ENSMUST00000107985,3,54390300,54391037,+,738,4
ENSMUSG00000027751,Supt20,protein_coding,SPT20 SAGA complex component [Source:MGI Symbol;Acc:MGI:1929651],ENSMUST00000200441,3,54728482,54728762,+,281,3
ENSMUSG00000094487,Gm21958,protein_coding,"predicted gene, 21958 [Source:MGI Symbol;Acc:MGI:5439427]",ENSMUST00000178832,3,54713733,54713836,-,104,0
ENSMUSG00000027752,Exosc8,protein_coding,exosome component 8 [Source:MGI Symbol;Acc:MGI:1916889],ENSMUST00000029316,3,54728678,54728777,-,100,0
ENSMUSG00000036632,Alg5,protein_coding,asparagine-linked glycosylation 5 (dolichyl-phosphate beta-glucosyltransferase) [Source:MGI Symbol;Acc:MGI:1913498],ENSMUST00000044567,3,54749345,54749795,+,451,6
ENSMUSG00000027796,Smad9,protein_coding,SMAD family member 9 [Source:MGI Symbol;Acc:MGI:1859993],ENSMUST00000029371,3,54797502,54801257,+,3756,13
ENSMUSG00000036615,Rfxap,protein_coding,regulatory factor X-associated protein [Source:MGI Symbol;Acc:MGI:2180854],ENSMUST00000044373,3,54803115,54804464,-,1350,1
ENSMUSG00000056306,Sertm1,protein_coding,serine rich and transmembrane domain containing 1 [Source:MGI Symbol;Acc:MGI:3607715],ENSMUST00000162201,3,54897068,54899278,-,2211,6
ENSMUSG00000027793,Ccna1,protein_coding,cyclin A1 [Source:MGI Symbol;Acc:MGI:108042],ENSMUST00000029368,3,55045475,55045656,-,182,2
ENSMUSG00000036580,Spg20,protein_coding,"spastic paraplegia 20, spartin (Troyer syndrome) homolog (human) [Source:MGI Symbol;Acc:MGI:2139806]",ENSMUST00000044116,3,55135681,55137322,+,1642,5
ENSMUSG00000048655,Ccdc169,protein_coding,coiled-coil domain containing 169 [Source:MGI Symbol;Acc:MGI:2444356],ENSMUST00000052904,3,55171365,55172935,+,1571,8
ENSMUSG00000027794,Sohlh2,protein_coding,spermatogenesis and oogenesis specific basic helix-loop-helix 2 [Source:MGI Symbol;Acc:MGI:1921684],ENSMUST00000029369,3,55209037,55209957,+,921,1
ENSMUSG00000027797,Dclk1,protein_coding,doublecortin-like kinase 1 [Source:MGI Symbol;Acc:MGI:1330861],ENSMUST00000070418,3,55533628,55539064,+,5437,17
ENSMUSG00000027799,Nbea,protein_coding,neurobeachin [Source:MGI Symbol;Acc:MGI:1347075],ENSMUST00000029374,3,55625195,55626903,-,1709,6
ENSMUSG00000056947,Mab21l1,protein_coding,mab-21-like 1 [Source:MGI Symbol;Acc:MGI:1333773],ENSMUST00000075422,3,55784074,55785001,+,928,5
ENSMUSG00000027800,Tm4sf1,protein_coding,transmembrane 4 superfamily member 1 [Source:MGI Symbol;Acc:MGI:104678],ENSMUST00000196979,3,57285611,57287755,-,2145,7
ENSMUSG00000027801,Tm4sf4,protein_coding,transmembrane 4 superfamily member 4 [Source:MGI Symbol;Acc:MGI:2385173],ENSMUST00000029377,3,57441092,57441677,+,586,2
ENSMUSG00000027803,Wwtr1,protein_coding,WW domain containing transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1917649],ENSMUST00000029380,3,57455649,57458925,-,3277,14
ENSMUSG00000036513,Commd2,protein_coding,COMM domain containing 2 [Source:MGI Symbol;Acc:MGI:1098806],ENSMUST00000160959,3,57644349,57646678,-,2330,7
ENSMUSG00000074591,Ankub1,protein_coding,ankrin repeat and ubiquitin domain containing 1 [Source:MGI Symbol;Acc:MGI:2685256],ENSMUST00000099091,3,57666485,57668410,-,1926,9
ENSMUSG00000036503,Rnf13,protein_coding,ring finger protein 13 [Source:MGI Symbol;Acc:MGI:1346341],ENSMUST00000200497,3,57833851,57835233,+,1383,5
ENSMUSG00000027805,Pfn2,protein_coding,profilin 2 [Source:MGI Symbol;Acc:MGI:97550],ENSMUST00000066882,3,57841895,57843216,-,1322,5
ENSMUSG00000027806,Tsc22d2,protein_coding,"TSC22 domain family, member 2 [Source:MGI Symbol;Acc:MGI:1919283]",ENSMUST00000099090,3,58460269,58466783,+,6515,27
ENSMUSG00000027808,Serp1,protein_coding,stress-associated endoplasmic reticulum protein 1 [Source:MGI Symbol;Acc:MGI:92638],ENSMUST00000029385,3,58519817,58523827,-,4011,14
ENSMUSG00000027810,Eif2a,protein_coding,eukaryotic translation initiation factor 2A [Source:MGI Symbol;Acc:MGI:1098684],ENSMUST00000029387,3,58557187,58557501,+,315,3
ENSMUSG00000075700,Selenot,protein_coding,selenoprotein T [Source:MGI Symbol;Acc:MGI:1916477],ENSMUST00000107924,3,58590695,58593133,+,2439,14
ENSMUSG00000070471,Erich6,protein_coding,glutamate rich 6 [Source:MGI Symbol;Acc:MGI:3588212],ENSMUST00000041115,3,58616300,58616309,-,10,0
ENSMUSG00000036432,Siah2,protein_coding,siah E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:108062],ENSMUST00000070368,3,58674938,58675885,-,948,3
ENSMUSG00000043850,Clrn1,protein_coding,clarin 1 [Source:MGI Symbol;Acc:MGI:2388124],ENSMUST00000055636,3,58844028,58846185,-,2158,2
ENSMUSG00000056476,Med12l,protein_coding,mediator complex subunit 12-like [Source:MGI Symbol;Acc:MGI:2139916],ENSMUST00000199659,3,59314750,59318682,+,3933,29
ENSMUSG00000050075,Gpr171,protein_coding,G protein-coupled receptor 171 [Source:MGI Symbol;Acc:MGI:2442043],ENSMUST00000085040,3,59096448,59097392,-,945,5
ENSMUSG00000036381,P2ry14,protein_coding,"purinergic receptor P2Y, G-protein coupled, 14 [Source:MGI Symbol;Acc:MGI:2155705]",ENSMUST00000197841,3,59113855,59115020,-,1166,0
ENSMUSG00000051431,Gpr87,protein_coding,G protein-coupled receptor 87 [Source:MGI Symbol;Acc:MGI:1934133],ENSMUST00000200095,3,59178923,59179005,-,83,0
ENSMUSG00000036362,P2ry13,protein_coding,"purinergic receptor P2Y, G-protein coupled 13 [Source:MGI Symbol;Acc:MGI:1921441]",ENSMUST00000040622,3,59207892,59209341,-,1450,10
ENSMUSG00000036353,P2ry12,protein_coding,"purinergic receptor P2Y, G-protein coupled 12 [Source:MGI Symbol;Acc:MGI:1918089]",ENSMUST00000196583,3,59216272,59217208,-,937,9
ENSMUSG00000036334,Igsf10,protein_coding,"immunoglobulin superfamily, member 10 [Source:MGI Symbol;Acc:MGI:1923481]",ENSMUST00000039419,3,59316735,59318465,-,1731,9
ENSMUSG00000036951,C130079G13Rik,protein_coding,AADACL2 family member 1 [Source:MGI Symbol;Acc:MGI:3028051],ENSMUST00000049476,3,59936730,59937949,+,1220,4
ENSMUSG00000091376,Aadacl2,protein_coding,arylacetamide deacetylase like 2 [Source:MGI Symbol;Acc:MGI:3646333],ENSMUST00000169794,3,60025272,60025420,+,149,1
ENSMUSG00000027761,Aadac,protein_coding,arylacetamide deacetylase [Source:MGI Symbol;Acc:MGI:1915008],ENSMUST00000029325,3,60040080,60040160,+,81,1
ENSMUSG00000027762,Sucnr1,protein_coding,succinate receptor 1 [Source:MGI Symbol;Acc:MGI:1934135],ENSMUST00000029326,3,60087007,60087566,+,560,4
ENSMUSG00000027763,Mbnl1,protein_coding,muscleblind like splicing factor 1 [Source:MGI Symbol;Acc:MGI:1928482],ENSMUST00000099087,3,60626380,60629750,+,3371,19
ENSMUSG00000027765,P2ry1,protein_coding,"purinergic receptor P2Y, G-protein coupled 1 [Source:MGI Symbol;Acc:MGI:105049]",ENSMUST00000029331,3,61006899,61008979,+,2081,14
ENSMUSG00000036894,Rap2b,protein_coding,"RAP2B, member of RAS oncogene family [Source:MGI Symbol;Acc:MGI:1921262]",ENSMUST00000049064,3,61365609,61368430,+,2822,10
ENSMUSG00000053706,B430305J03Rik,protein_coding,RIKEN cDNA B430305J03 gene [Source:MGI Symbol;Acc:MGI:3697707],ENSMUST00000066298,3,61362250,61363791,-,1542,2
ENSMUSG00000036885,Arhgef26,protein_coding,Rho guanine nucleotide exchange factor (GEF) 26 [Source:MGI Symbol;Acc:MGI:1918053],ENSMUST00000079300,3,62460347,62462221,+,1875,5
ENSMUSG00000027770,Dhx36,protein_coding,DEAH (Asp-Glu-Ala-His) box polypeptide 36 [Source:MGI Symbol;Acc:MGI:1919412],ENSMUST00000029336,3,62468013,62470561,-,2549,6
ENSMUSG00000043441,Gpr149,protein_coding,G protein-coupled receptor 149 [Source:MGI Symbol;Acc:MGI:2443628],ENSMUST00000058535,3,62529077,62530535,-,1459,1
ENSMUSG00000027820,Mme,protein_coding,membrane metallo endopeptidase [Source:MGI Symbol;Acc:MGI:97004],ENSMUST00000194134,3,63380333,63386030,+,5698,22
ENSMUSG00000103476,Gm34302,protein_coding,small transmembrane regulator of ion transport 1 [Source:MGI Symbol;Acc:MGI:5593461],ENSMUST00000192926,3,63481112,63481193,-,82,1
ENSMUSG00000036834,Plch1,protein_coding,"phospholipase C, eta 1 [Source:MGI Symbol;Acc:MGI:2683547]",ENSMUST00000162269,3,63696237,63699480,-,3244,5
ENSMUSG00000048581,E130311K13Rik,protein_coding,RIKEN cDNA E130311K13 gene [Source:MGI Symbol;Acc:MGI:3607716],ENSMUST00000061706,3,63914684,63915336,-,653,1
ENSMUSG00000027822,Slc33a1,protein_coding,"solute carrier family 33 (acetyl-CoA transporter), member 1 [Source:MGI Symbol;Acc:MGI:1332247]",ENSMUST00000029402,3,63942330,63943248,-,919,10
ENSMUSG00000027823,Gmps,protein_coding,guanine monophosphate synthetase [Source:MGI Symbol;Acc:MGI:2448526],ENSMUST00000029405,3,64016735,64022579,+,5845,26
ENSMUSG00000027824,Vmn2r1,protein_coding,"vomeronasal 2, receptor 1 [Source:MGI Symbol;Acc:MGI:3645892]",ENSMUST00000029406,3,64105459,64109484,+,4026,20
ENSMUSG00000043897,Vmn2r2,protein_coding,"vomeronasal 2, receptor 2 [Source:MGI Symbol;Acc:MGI:3757666]",ENSMUST00000177151,3,64115278,64116431,-,1154,4
ENSMUSG00000091572,Vmn2r3,protein_coding,"vomeronasal 2, receptor 3 [Source:MGI Symbol;Acc:MGI:3643995]",ENSMUST00000233531,3,64257215,64258960,-,1746,11
ENSMUSG00000092049,Vmn2r4,protein_coding,"vomeronasal 2, receptor 4 [Source:MGI Symbol;Acc:MGI:3648229]",ENSMUST00000175724,3,64383045,64388620,-,5576,10
ENSMUSG00000068999,Vmn2r5,protein_coding,"vomeronasal 2, receptor 5 [Source:MGI Symbol;Acc:MGI:3649074]",ENSMUST00000177184,3,64488609,64490820,-,2212,4
ENSMUSG00000090581,Vmn2r6,protein_coding,"vomeronasal 2, receptor 6 [Source:MGI Symbol;Acc:MGI:3649068]",ENSMUST00000176481,3,64531310,64537560,-,6251,5
ENSMUSG00000062200,Vmn2r7,protein_coding,"vomeronasal 2, receptor 7 [Source:MGI Symbol;Acc:MGI:2441693]",ENSMUST00000233255,3,64685044,64690659,-,5616,7
ENSMUSG00000027827,Kcnab1,protein_coding,"potassium voltage-gated channel, shaker-related subfamily, beta member 1 [Source:MGI Symbol;Acc:MGI:109155]",ENSMUST00000049230,3,65376569,65378219,+,1651,6
ENSMUSG00000027828,Ssr3,protein_coding,"signal sequence receptor, gamma [Source:MGI Symbol;Acc:MGI:1914687]",ENSMUST00000029414,3,65379655,65381967,-,2313,15
ENSMUSG00000034640,Tiparp,protein_coding,TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol;Acc:MGI:2159210],ENSMUST00000047906,3,65553566,65555518,+,1953,10
ENSMUSG00000074579,Lekr1,protein_coding,"leucine, glutamate and lysine rich 1 [Source:MGI Symbol;Acc:MGI:3645902]",ENSMUST00000099075,3,65684195,65686179,+,1985,4
ENSMUSG00000027829,Ccnl1,protein_coding,cyclin L1 [Source:MGI Symbol;Acc:MGI:1922664],ENSMUST00000029416,3,65946151,65946599,-,449,4
ENSMUSG00000027831,Veph1,protein_coding,ventricular zone expressed PH domain-containing 1 [Source:MGI Symbol;Acc:MGI:1920039],ENSMUST00000029419,3,66053558,66057104,-,3547,12
ENSMUSG00000027832,Ptx3,protein_coding,pentraxin related gene [Source:MGI Symbol;Acc:MGI:104641],ENSMUST00000029421,3,66225206,66225805,+,600,6
ENSMUSG00000027833,Shox2,protein_coding,short stature homeobox 2 [Source:MGI Symbol;Acc:MGI:1201673],ENSMUST00000162098,3,66971727,66973649,-,1923,8
ENSMUSG00000034544,Rsrc1,protein_coding,arginine/serine-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1914130],ENSMUST00000161726,3,67356314,67358396,+,2083,4
ENSMUSG00000048416,Mlf1,protein_coding,myeloid leukemia factor 1 [Source:MGI Symbol;Acc:MGI:1341819],ENSMUST00000061322,3,67399808,67400003,+,196,1
ENSMUSG00000027774,Gfm1,protein_coding,"G elongation factor, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:107339]",ENSMUST00000077271,3,67474851,67476529,+,1679,6
ENSMUSG00000047557,Lxn,protein_coding,latexin [Source:MGI Symbol;Acc:MGI:107633],ENSMUST00000058981,3,67457998,67458228,-,231,0
ENSMUSG00000049404,Rarres1,protein_coding,retinoic acid receptor responder (tazarotene induced) 1 [Source:MGI Symbol;Acc:MGI:1924461],ENSMUST00000054825,3,67478972,67479336,-,365,1
ENSMUSG00000027775,Mfsd1,protein_coding,major facilitator superfamily domain containing 1 [Source:MGI Symbol;Acc:MGI:1914118],ENSMUST00000029344,3,67602699,67604237,+,1539,3
ENSMUSG00000051777,Iqcj,protein_coding,IQ motif containing J [Source:MGI Symbol;Acc:MGI:3644166],ENSMUST00000063263,3,68055441,68056593,+,1153,2
ENSMUSG00000102422,Iqschfp,protein_coding,Iqcj and Schip1 fusion protein [Source:MGI Symbol;Acc:MGI:5439400],ENSMUST00000182006,3,68625859,68626466,+,608,5
ENSMUSG00000027777,Schip1,protein_coding,schwannomin interacting protein 1 [Source:MGI Symbol;Acc:MGI:1353557],ENSMUST00000182532,3,68625859,68626481,+,623,5
ENSMUSG00000027776,Il12a,protein_coding,interleukin 12a [Source:MGI Symbol;Acc:MGI:96539],ENSMUST00000029345,3,68698051,68698547,+,497,3
ENSMUSG00000046999,1110032F04Rik,protein_coding,RIKEN cDNA 1110032F04 gene [Source:MGI Symbol;Acc:MGI:1915975],ENSMUST00000054551,3,68870452,68872163,+,1712,7
ENSMUSG00000027778,Ift80,protein_coding,intraflagellar transport 80 [Source:MGI Symbol;Acc:MGI:1915509],ENSMUST00000107812,3,68892499,68894070,-,1572,3
ENSMUSG00000034349,Smc4,protein_coding,structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349],ENSMUST00000042901,3,69034527,69034623,+,97,0
ENSMUSG00000034317,Trim59,protein_coding,tripartite motif-containing 59 [Source:MGI Symbol;Acc:MGI:1914199],ENSMUST00000107802,3,69035288,69036793,-,1506,5
ENSMUSG00000027782,Kpna4,protein_coding,karyopherin (importin) alpha 4 [Source:MGI Symbol;Acc:MGI:1100848],ENSMUST00000029353,3,69067149,69074088,-,6940,18
ENSMUSG00000098207,Arl14,protein_coding,ADP-ribosylation factor-like 14 [Source:MGI Symbol;Acc:MGI:1918869],ENSMUST00000183126,3,69223101,69223618,+,518,1
ENSMUSG00000027784,Ppm1l,protein_coding,protein phosphatase 1 (formerly 2C)-like [Source:MGI Symbol;Acc:MGI:2139740],ENSMUST00000029355,3,69553175,69560802,+,7628,14
ENSMUSG00000043300,B3galnt1,protein_coding,"UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1349405]",ENSMUST00000061826,3,69574158,69574930,-,773,3
ENSMUSG00000027787,Nmd3,protein_coding,NMD3 ribosome export adaptor [Source:MGI Symbol;Acc:MGI:2140103],ENSMUST00000029358,3,69748903,69756373,+,7471,21
ENSMUSG00000043461,Sptssb,protein_coding,"serine palmitoyltransferase, small subunit B [Source:MGI Symbol;Acc:MGI:1913433]",ENSMUST00000051239,3,69819542,69820871,-,1330,6
ENSMUSG00000027788,Otol1,protein_coding,otolin 1 [Source:MGI Symbol;Acc:MGI:2685260],ENSMUST00000053013,3,70028126,70028708,+,583,5
ENSMUSG00000027790,Sis,protein_coding,sucrase isomaltase (alpha-glucosidase) [Source:MGI Symbol;Acc:MGI:1917233],ENSMUST00000167334,3,72888557,72888989,-,433,3
ENSMUSG00000048304,Slitrk3,protein_coding,"SLIT and NTRK-like family, member 3 [Source:MGI Symbol;Acc:MGI:2679447]",ENSMUST00000192477,3,73047265,73048494,-,1230,2
ENSMUSG00000027792,Bche,protein_coding,butyrylcholinesterase [Source:MGI Symbol;Acc:MGI:894278],ENSMUST00000029367,3,73635808,73639916,-,4109,9
ENSMUSG00000034151,Zbbx,protein_coding,"zinc finger, B-box domain containing [Source:MGI Symbol;Acc:MGI:2674085]",ENSMUST00000107775,3,75078562,75078623,-,62,0
ENSMUSG00000034139,Serpini2,protein_coding,"serine (or cysteine) peptidase inhibitor, clade I, member 2 [Source:MGI Symbol;Acc:MGI:1915181]",ENSMUST00000039047,3,75242370,75242507,-,138,0
ENSMUSG00000027835,Pdcd10,protein_coding,programmed cell death 10 [Source:MGI Symbol;Acc:MGI:1928396],ENSMUST00000161137,3,75516490,75517519,-,1030,6
ENSMUSG00000027834,Serpini1,protein_coding,"serine (or cysteine) peptidase inhibitor, clade I, member 1 [Source:MGI Symbol;Acc:MGI:1194506]",ENSMUST00000029423,3,75640752,75643495,+,2744,23
ENSMUSG00000100962,Gm29133,protein_coding,predicted gene 29133 [Source:MGI Symbol;Acc:MGI:5579839],ENSMUST00000189155,3,75787570,75787653,+,84,0
ENSMUSG00000034109,Golim4,protein_coding,golgi integral membrane protein 4 [Source:MGI Symbol;Acc:MGI:1920374],ENSMUST00000038563,3,75875084,75878030,-,2947,11
ENSMUSG00000034098,Fstl5,protein_coding,follistatin-like 5 [Source:MGI Symbol;Acc:MGI:2442179],ENSMUST00000038364,3,76708178,76710019,+,1842,9
ENSMUSG00000062232,Rapgef2,protein_coding,Rap guanine nucleotide exchange factor (GEF) 2 [Source:MGI Symbol;Acc:MGI:2659071],ENSMUST00000118100,3,79062516,79064535,-,2020,6
ENSMUSG00000091685,Gm17359,protein_coding,"predicted gene, 17359 [Source:MGI Symbol;Acc:MGI:4936993]",ENSMUST00000199658,3,79431033,79431286,+,254,1
ENSMUSG00000061175,Fnip2,protein_coding,folliculin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2683054],ENSMUST00000133154,3,79455974,79459662,-,3689,8
ENSMUSG00000027804,Ppid,protein_coding,peptidylprolyl isomerase D (cyclophilin D) [Source:MGI Symbol;Acc:MGI:1914988],ENSMUST00000029382,3,79603120,79603650,+,531,1
ENSMUSG00000027809,Etfdh,protein_coding,"electron transferring flavoprotein, dehydrogenase [Source:MGI Symbol;Acc:MGI:106100]",ENSMUST00000029386,3,79603788,79604001,-,214,1
ENSMUSG00000027811,4930579G24Rik,protein_coding,RIKEN cDNA 4930579G24 gene [Source:MGI Symbol;Acc:MGI:1923189],ENSMUST00000029388,3,79631285,79632820,+,1536,9
ENSMUSG00000034009,Rxfp1,protein_coding,relaxin/insulin-like family peptide receptor 1 [Source:MGI Symbol;Acc:MGI:2682211],ENSMUST00000078527,3,79641611,79644715,-,3105,3
ENSMUSG00000027956,Tmem144,protein_coding,transmembrane protein 144 [Source:MGI Symbol;Acc:MGI:1917902],ENSMUST00000029568,3,79812564,79814062,-,1499,5
ENSMUSG00000027955,Fam198b,protein_coding,golgi associated kinase 1B [Source:MGI Symbol;Acc:MGI:1915909],ENSMUST00000118853,3,79941503,79946280,+,4778,26
ENSMUSG00000033981,Gria2,protein_coding,"glutamate receptor, ionotropic, AMPA2 (alpha 2) [Source:MGI Symbol;Acc:MGI:95809]",ENSMUST00000075316,3,80681450,80688714,-,7265,53
ENSMUSG00000028020,Glrb,protein_coding,"glycine receptor, beta subunit [Source:MGI Symbol;Acc:MGI:95751]",ENSMUST00000029654,3,80843599,80844963,-,1365,5
ENSMUSG00000028019,Pdgfc,protein_coding,"platelet-derived growth factor, C polypeptide [Source:MGI Symbol;Acc:MGI:1859631]",ENSMUST00000029652,3,81212579,81214040,+,1462,7
ENSMUSG00000028015,Ctso,protein_coding,cathepsin O [Source:MGI Symbol;Acc:MGI:2139628],ENSMUST00000029649,3,81954261,81956725,+,2465,9
ENSMUSG00000028011,Tdo2,protein_coding,"tryptophan 2,3-dioxygenase [Source:MGI Symbol;Acc:MGI:1928486]",ENSMUST00000029645,3,81957090,81958790,-,1701,10
ENSMUSG00000028008,Asic5,protein_coding,acid-sensing (proton-gated) ion channel family member 5 [Source:MGI Symbol;Acc:MGI:1929259],ENSMUST00000029641,3,82021094,82021233,+,140,1
ENSMUSG00000028005,Gucy1b1,protein_coding,"guanylate cyclase 1, soluble, beta 1 [Source:MGI Symbol;Acc:MGI:1860604]",ENSMUST00000029635,3,82032006,82033254,-,1249,10
ENSMUSG00000033910,Gucy1a1,protein_coding,"guanylate cyclase 1, soluble, alpha 1 [Source:MGI Symbol;Acc:MGI:1926562]",ENSMUST00000193924,3,82092427,82094694,-,2268,11
ENSMUSG00000033900,Map9,protein_coding,microtubule-associated protein 9 [Source:MGI Symbol;Acc:MGI:2442208],ENSMUST00000091014,3,82391251,82395268,+,4018,16
ENSMUSG00000028004,Npy2r,protein_coding,neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418],ENSMUST00000029633,3,82538383,82540320,-,1938,6
ENSMUSG00000033882,Rbm46,protein_coding,RNA binding motif protein 46 [Source:MGI Symbol;Acc:MGI:3645057],ENSMUST00000182818,3,82837818,82838459,-,642,3
ENSMUSG00000028003,Lrat,protein_coding,lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase) [Source:MGI Symbol;Acc:MGI:1891259],ENSMUST00000029632,3,82892579,82896972,-,4394,18
ENSMUSG00000033860,Fgg,protein_coding,fibrinogen gamma chain [Source:MGI Symbol;Acc:MGI:95526],ENSMUST00000194175,3,83014344,83014705,+,362,2
ENSMUSG00000028001,Fga,protein_coding,fibrinogen alpha chain [Source:MGI Symbol;Acc:MGI:1316726],ENSMUST00000029630,3,83031994,83032263,+,270,0
ENSMUSG00000033831,Fgb,protein_coding,fibrinogen beta chain [Source:MGI Symbol;Acc:MGI:99501],ENSMUST00000048246,3,83040141,83042402,-,2262,4
ENSMUSG00000027998,Plrg1,protein_coding,pleiotropic regulator 1 [Source:MGI Symbol;Acc:MGI:1858197],ENSMUST00000150268,3,83072171,83072355,+,185,1
ENSMUSG00000102692,Dchs2,protein_coding,dachsous cadherin related 2 [Source:MGI Symbol;Acc:MGI:2685263],ENSMUST00000191829,3,83356468,83357209,+,742,5
ENSMUSG00000027996,Sfrp2,protein_coding,secreted frizzled-related protein 2 [Source:MGI Symbol;Acc:MGI:108078],ENSMUST00000029625,3,83773423,83774316,+,894,1
ENSMUSG00000027995,Tlr2,protein_coding,toll-like receptor 2 [Source:MGI Symbol;Acc:MGI:1346060],ENSMUST00000029623,3,83836272,83836419,-,148,0
ENSMUSG00000033767,Tmem131l,protein_coding,transmembrane 131 like [Source:MGI Symbol;Acc:MGI:2443399],ENSMUST00000191758,3,83897655,83898340,-,686,0
ENSMUSG00000033752,Mnd1,protein_coding,meiotic nuclear divisions 1 [Source:MGI Symbol;Acc:MGI:1924165],ENSMUST00000047368,3,84087933,84088067,-,135,0
ENSMUSG00000027993,Trim2,protein_coding,tripartite motif-containing 2 [Source:MGI Symbol;Acc:MGI:1933163],ENSMUST00000107692,3,84160439,84165096,-,4658,17
ENSMUSG00000104043,Gm6525,protein_coding,predicted pseudogene 6525 [Source:MGI Symbol;Acc:MGI:3648757],ENSMUST00000193882,3,84175095,84175132,+,38,0
ENSMUSG00000041842,Fhdc1,protein_coding,FH2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2684972],ENSMUST00000107689,3,84442198,84444466,-,2269,2
ENSMUSG00000074513,Arfip1,protein_coding,ADP-ribosylation factor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1277120],ENSMUST00000098990,3,84496093,84497735,-,1643,10
ENSMUSG00000102805,Gm37240,protein_coding,"predicted gene, 37240 [Source:MGI Symbol;Acc:MGI:5610468]",ENSMUST00000154148,3,84496426,84497735,-,1310,7
